Date,Open,High,Low,Close,Adj Close,Volume
2025-05-30,199.37,201.96,196.78,200.85,200.62,70819900
2025-05-29,203.58,203.81,198.51,199.95,199.72,51396800
2025-05-28,200.59,202.73,199.9,200.42,200.19,45339700
2025-05-27,198.3,200.74,197.43,200.21,199.98,56288500
2025-05-23,193.67,197.7,193.46,195.27,195.05,78432900
2025-05-22,200.71,202.75,199.7,201.36,201.13,46742400
2025-05-21,205.17,207.04,200.71,202.09,201.86,59211800
2025-05-20,207.67,208.47,205.03,206.86,206.63,42496600
2025-05-19,207.91,209.48,204.26,208.78,208.54,46140500
2025-05-16,212.36,212.57,209.77,211.26,211.02,54737900
2025-05-15,210.95,212.96,209.54,211.45,211.21,45029500
2025-05-14,212.43,213.94,210.58,212.33,212.09,49325800
2025-05-13,210.43,213.4,209.0,212.93,212.69,51909300
2025-05-12,210.97,211.27,206.75,210.79,210.55,63775800
2025-05-09,199.0,200.54,197.54,198.53,198.05,36453900
2025-05-08,197.72,200.05,194.68,197.49,197.01,50478900
2025-05-07,199.17,199.44,193.25,196.25,195.77,68536700
2025-05-06,198.21,200.65,197.02,198.51,198.03,51216500
2025-05-05,203.1,204.1,198.21,198.89,198.4,69018500
2025-05-02,206.09,206.99,202.16,205.35,204.85,101010600
2025-05-01,209.08,214.56,208.9,213.32,212.8,57365700
2025-04-30,209.3,213.58,206.67,212.5,211.98,52286500
2025-04-29,208.69,212.24,208.37,211.21,210.69,36827600
2025-04-28,210.0,211.5,207.46,210.14,209.63,38743100
2025-04-25,206.37,209.75,206.2,209.28,208.77,38222300
2025-04-24,204.89,208.83,202.94,208.37,207.86,47311000
2025-04-23,206.0,208.0,202.8,204.6,204.1,52929200
2025-04-22,196.12,201.59,195.97,199.74,199.25,52976400
2025-04-21,193.27,193.8,189.81,193.16,192.69,46742500
2025-04-17,197.2,198.83,194.42,196.98,196.5,52164700
2025-04-16,198.36,200.7,192.37,194.27,193.8,59732400
2025-04-15,201.86,203.51,199.8,202.14,201.65,51343900
2025-04-14,211.44,212.94,201.16,202.52,202.03,101352900
2025-04-11,186.1,199.54,186.06,198.15,197.67,87435900
2025-04-10,189.07,194.78,183.0,190.42,189.96,121880000
2025-04-09,171.95,200.61,171.89,198.85,198.36,184395900
2025-04-08,186.7,190.34,169.21,172.42,172.0,120859500
2025-04-07,177.2,194.15,174.62,181.46,181.02,160466300
2025-04-04,193.89,199.88,187.34,188.38,187.92,125910900
2025-04-03,205.54,207.49,201.25,203.19,202.69,103419000
2025-04-02,221.32,225.19,221.02,223.89,223.34,35905900
2025-04-01,219.81,223.68,218.9,223.19,222.65,36412700
2025-03-31,217.01,225.62,216.23,222.13,221.59,65299300
2025-03-28,221.67,223.81,217.68,217.9,217.37,39818600
2025-03-27,221.39,224.99,220.56,223.85,223.3,37094800
2025-03-26,223.51,225.02,220.47,221.53,220.99,34466100
2025-03-25,220.77,224.1,220.08,223.75,223.2,34493600
2025-03-24,221.0,221.48,218.58,220.73,220.19,44299500
2025-03-21,211.56,218.84,211.28,218.27,217.74,94127800
2025-03-20,213.99,217.49,212.22,214.1,213.58,48862900
2025-03-19,214.22,218.76,213.75,215.24,214.71,54385400
2025-03-18,214.16,215.15,211.49,212.69,212.17,42432400
2025-03-17,213.31,215.22,209.97,214.0,213.48,48073400
2025-03-14,211.25,213.95,209.58,213.49,212.97,60107600
2025-03-13,215.95,216.84,208.42,209.68,209.17,61368300
2025-03-12,220.14,221.75,214.91,216.98,216.45,62547500
2025-03-11,223.81,225.84,217.45,220.84,220.3,76137400
2025-03-10,235.54,236.16,224.22,227.48,226.92,72071200
2025-03-07,235.11,241.37,234.76,239.07,238.49,46273600
2025-03-06,234.44,237.86,233.16,235.33,234.76,45170400
2025-03-05,235.42,236.55,229.23,235.74,235.16,47227600
2025-03-04,237.71,240.07,234.68,235.93,235.35,53798100
2025-03-03,241.79,244.03,236.11,238.03,237.45,47184000
2025-02-28,236.95,242.09,230.2,241.84,241.25,56833400
2025-02-27,239.41,242.46,237.06,237.3,236.72,41153600
2025-02-26,244.33,244.98,239.13,240.36,239.77,44433600
2025-02-25,248.0,250.0,244.91,247.04,246.44,48013300
2025-02-24,244.93,248.86,244.42,247.1,246.5,51326400
2025-02-21,245.95,248.69,245.22,245.55,244.95,53197400
2025-02-20,244.94,246.78,244.29,245.83,245.23,32316900
2025-02-19,244.66,246.01,243.16,244.87,244.27,32204200
2025-02-18,244.15,245.18,241.84,244.47,243.87,48822500
2025-02-14,241.25,245.55,240.99,244.6,244.0,40896200
2025-02-13,236.91,242.34,235.57,241.53,240.94,53614100
2025-02-12,231.2,236.96,230.68,236.87,236.29,45243300
2025-02-11,228.2,235.23,228.13,232.62,232.05,53718400
2025-02-10,229.57,230.59,227.2,227.65,227.09,33115600
2025-02-07,232.6,234.0,227.26,227.63,226.82,39707200
2025-02-06,231.29,233.8,230.43,233.22,232.4,29925300
2025-02-05,228.53,232.67,228.27,232.47,231.65,39620300
2025-02-04,227.25,233.13,226.65,232.8,231.98,45067300
2025-02-03,229.99,231.83,225.7,228.01,227.2,73063300
2025-01-31,247.19,247.19,233.44,236.0,235.17,100959800
2025-01-30,238.67,240.79,237.21,237.59,236.75,55658300
2025-01-29,234.12,239.86,234.01,239.36,238.51,45486100
2025-01-28,230.85,240.19,230.81,238.26,237.42,75707600
2025-01-27,224.02,232.15,223.98,229.86,229.05,94863400
2025-01-24,224.78,225.63,221.41,222.78,221.99,54697900
2025-01-23,224.74,227.03,222.3,223.66,222.87,60234800
2025-01-22,219.79,224.12,219.79,223.83,223.04,64126500
2025-01-21,224.0,224.42,219.38,222.64,221.85,98070400
2025-01-17,232.12,232.29,228.48,229.98,229.17,68488300
2025-01-16,237.35,238.01,228.03,228.26,227.45,71759100
2025-01-15,234.64,238.96,234.43,237.87,237.03,39832000
2025-01-14,234.75,236.12,232.47,233.28,232.45,39435300
2025-01-13,233.53,234.67,229.72,234.4,233.57,49630700
2025-01-10,240.01,240.16,233.0,236.85,236.01,61710900
2025-01-08,241.92,243.71,240.05,242.7,241.84,37628900
2025-01-07,242.98,245.55,241.35,242.21,241.35,40856000
2025-01-06,244.31,247.33,243.2,245.0,244.13,45045600
2025-01-03,243.36,244.18,241.89,243.36,242.5,40244100
2025-01-02,248.93,249.1,241.82,243.85,242.99,55740700
2024-12-31,252.44,253.28,249.43,250.42,249.53,39480700
2024-12-30,252.23,253.5,250.75,252.2,251.31,35557500
2024-12-27,257.83,258.7,253.06,255.59,254.69,42355300
2024-12-26,258.19,260.1,257.63,259.02,258.1,27237100
2024-12-24,255.49,258.21,255.29,258.2,257.29,23234700
2024-12-23,254.77,255.65,253.45,255.27,254.37,40858800
2024-12-20,248.04,255.0,245.69,254.49,253.59,147495300
2024-12-19,247.5,252.0,247.09,249.79,248.91,60882300
2024-12-18,252.16,254.28,247.74,248.05,247.17,56774100
2024-12-17,250.08,253.83,249.78,253.48,252.58,51356400
2024-12-16,247.99,251.38,247.65,251.04,250.15,51694800
2024-12-13,247.82,249.29,246.24,248.13,247.25,33155300
2024-12-12,246.89,248.74,245.68,247.96,247.08,32777500
2024-12-11,247.96,250.8,246.26,246.49,245.62,45205800
2024-12-10,246.89,248.21,245.34,247.77,246.89,36914800
2024-12-09,241.83,247.24,241.75,246.75,245.88,44649200
2024-12-06,242.91,244.63,242.08,242.84,241.98,36870600
2024-12-05,243.99,244.54,242.13,243.04,242.18,40033900
2024-12-04,242.87,244.11,241.25,243.01,242.15,44383900
2024-12-03,239.81,242.76,238.9,242.65,241.79,38861000
2024-12-02,237.27,240.79,237.16,239.59,238.74,48137100
2024-11-29,234.81,237.81,233.97,237.33,236.49,28481400
2024-11-27,234.47,235.69,233.81,234.93,234.1,33498400
2024-11-26,233.33,235.57,233.33,235.06,234.23,45986200
2024-11-25,231.46,233.25,229.74,232.87,232.05,90152800
2024-11-22,228.06,230.72,228.06,229.87,229.06,38168300
2024-11-21,228.88,230.16,225.71,228.52,227.71,42108300
2024-11-20,228.06,229.93,225.89,229.0,228.19,35169600
2024-11-19,226.98,230.16,226.66,228.28,227.47,36211800
2024-11-18,225.25,229.74,225.17,228.02,227.21,44633700
2024-11-15,226.4,226.92,224.27,225.0,224.2,47923700
2024-11-14,225.02,228.87,225.0,228.22,227.41,44923900
2024-11-13,224.01,226.65,222.76,225.12,224.32,48566200
2024-11-12,224.55,225.59,223.36,224.23,223.44,40398300
2024-11-11,225.0,225.7,221.5,224.23,223.44,42005600
2024-11-08,227.17,228.66,226.41,226.96,226.16,38328800
2024-11-07,224.63,227.88,224.57,227.48,226.43,42137700
2024-11-06,222.61,226.07,221.19,222.72,221.69,54561100
2024-11-05,221.8,223.95,221.14,223.45,222.41,28111300
2024-11-04,220.99,222.79,219.71,222.01,220.98,44944500
2024-11-01,220.97,225.35,220.27,222.91,221.88,65276700
2024-10-31,229.34,229.83,225.37,225.91,224.86,64370100
2024-10-30,232.61,233.47,229.55,230.1,229.03,47070900
2024-10-29,233.1,234.33,232.32,233.67,232.59,35417200
2024-10-28,233.32,234.73,232.55,233.4,232.32,36087100
2024-10-25,229.74,233.22,229.57,231.41,230.34,38802300
2024-10-24,229.98,230.82,228.41,230.57,229.5,31109500
2024-10-23,234.08,235.14,227.76,230.76,229.69,52287000
2024-10-22,233.89,236.22,232.6,235.86,234.77,38846600
2024-10-21,234.45,236.85,234.45,236.48,235.38,36254500
2024-10-18,236.18,236.18,234.01,235.0,233.91,46431500
2024-10-17,233.43,233.85,230.52,232.15,231.07,32993800
2024-10-16,231.6,232.12,229.84,231.78,230.71,34082200
2024-10-15,233.61,237.49,232.37,233.85,232.77,64751400
2024-10-14,228.7,231.73,228.6,231.3,230.23,39882100
2024-10-11,229.3,229.41,227.34,227.55,226.5,31759200
2024-10-10,227.78,229.5,227.17,229.04,227.98,28183500
2024-10-09,225.23,229.75,224.83,229.54,228.48,33591100
2024-10-08,224.3,225.98,223.25,225.77,224.72,31855700
2024-10-07,224.5,225.69,221.33,221.69,220.66,39505400
2024-10-04,227.9,228.0,224.13,226.8,225.75,37245100
2024-10-03,225.14,226.81,223.32,225.67,224.62,34044200
2024-10-02,225.89,227.37,223.02,226.78,225.73,32880600
2024-10-01,229.52,229.65,223.74,226.21,225.16,63285000
2024-09-30,230.04,233.0,229.65,233.0,231.92,54541900
2024-09-27,228.46,229.52,227.3,227.79,226.73,34026000
2024-09-26,227.3,228.5,225.41,227.52,226.47,36636700
2024-09-25,224.93,227.29,224.02,226.37,225.32,42308700
2024-09-24,228.65,229.35,225.73,227.37,226.32,43556100
2024-09-23,227.34,229.45,225.81,226.47,225.42,54146000
2024-09-20,229.97,233.09,227.62,228.2,227.14,318679900
2024-09-19,224.99,229.82,224.63,228.87,227.81,66781300
2024-09-18,217.55,222.71,217.54,220.69,219.67,59894900
2024-09-17,215.75,216.9,214.5,216.79,215.79,45519300
2024-09-16,216.54,217.22,213.92,216.32,215.32,59357400
2024-09-13,223.58,224.04,221.91,222.5,221.47,36766600
2024-09-12,222.5,223.55,219.82,222.77,221.74,37455600
2024-09-11,221.46,223.09,217.89,222.66,221.63,44587100
2024-09-10,218.92,221.48,216.73,220.11,219.09,51591000
2024-09-09,220.82,221.27,216.71,220.91,219.89,67180000
2024-09-06,223.95,225.24,219.77,220.82,219.8,48423000
2024-09-05,221.63,225.48,221.52,222.38,221.35,36615400
2024-09-04,221.66,221.78,217.48,220.85,219.83,43840200
2024-09-03,228.55,229.0,221.17,222.77,221.74,50190600
2024-08-30,230.19,230.4,227.48,229.0,227.94,52990800
2024-08-29,230.1,232.92,228.88,229.79,228.73,51906300
2024-08-28,227.92,229.86,225.68,226.49,225.44,38052200
2024-08-27,226.0,228.85,224.89,228.03,226.97,35934600
2024-08-26,226.76,227.28,223.89,227.18,226.13,30602200
2024-08-23,225.66,228.22,224.33,226.84,225.79,38677300
2024-08-22,227.79,228.34,223.9,224.53,223.49,43695300
2024-08-21,226.52,227.98,225.05,226.4,225.35,34765500
2024-08-20,225.77,227.17,225.45,226.51,225.46,30299000
2024-08-19,225.72,225.99,223.04,225.89,224.84,40687800
2024-08-16,223.92,226.83,223.65,226.05,225.0,44340200
2024-08-15,224.6,225.35,222.76,224.72,223.68,46414000
2024-08-14,220.57,223.03,219.7,221.72,220.69,41960600
