Date,Open,High,Low,Close,Adj Close,Volume
2025-05-30,132.88,134.13,131.74,133.58,132.98,14236800
2025-05-29,131.73,133.06,131.35,132.85,132.26,3078200
2025-05-28,133.1,133.6,131.84,132.02,131.43,3622100
2025-05-27,131.85,133.84,131.53,132.94,132.35,5591000
2025-05-23,131.68,132.17,130.43,131.3,130.71,6145000
2025-05-22,132.46,132.88,131.17,131.5,130.91,6277100
2025-05-21,135.1,136.17,133.02,133.05,132.46,7209100
2025-05-20,135.0,135.83,134.54,135.2,134.6,6455300
2025-05-19,135.0,135.69,134.53,135.55,134.94,8012800
2025-05-16,133.15,135.29,132.77,134.8,134.2,7128700
2025-05-15,128.85,133.43,128.85,133.35,132.75,8406400
2025-05-14,129.3,130.14,128.19,128.56,127.99,5266900
2025-05-13,131.75,131.75,128.92,129.05,128.47,6344700
2025-05-12,131.79,133.66,130.1,131.99,131.4,5958300
2025-05-09,133.98,134.97,133.19,133.24,132.64,4976100
2025-05-08,133.26,135.22,133.08,134.0,133.4,5994500
2025-05-07,133.5,134.43,132.43,133.95,133.35,4924900
2025-05-06,131.95,133.6,130.7,133.06,132.47,6290500
2025-05-05,132.89,133.06,131.45,132.6,132.01,5752000
2025-05-02,131.91,136.8,131.33,132.82,132.23,9801400
2025-05-01,129.5,131.63,128.0,130.88,130.3,6769100
2025-04-30,130.92,131.27,128.68,130.75,130.17,8510500
2025-04-29,128.89,131.27,128.8,130.5,129.92,4315300
2025-04-28,129.33,130.12,128.52,129.53,128.95,3843300
2025-04-25,129.27,129.53,127.24,128.85,128.27,4849100
2025-04-24,130.02,130.2,128.03,129.38,128.8,6595500
2025-04-23,132.21,132.89,127.13,129.84,129.26,8777100
2025-04-22,129.93,132.03,129.93,131.73,131.14,5837100
2025-04-21,130.97,131.96,128.51,129.89,129.31,6046700
2025-04-17,130.38,132.71,129.66,130.98,130.39,10474500
2025-04-16,129.7,134.16,129.01,129.7,129.12,13483200
2025-04-15,127.62,128.49,125.6,126.22,125.66,8639400
2025-04-14,127.0,128.5,126.84,127.96,126.8,6988500
2025-04-11,126.06,128.52,124.04,126.88,125.73,7357000
2025-04-10,126.0,126.82,122.02,124.5,123.37,11089400
2025-04-09,121.63,127.76,120.85,127.04,125.89,10179200
2025-04-08,127.07,127.96,122.06,123.95,122.83,9880100
2025-04-07,122.29,126.5,120.47,124.86,123.73,10371300
2025-04-04,131.23,132.4,124.0,124.44,123.31,10776900
2025-04-03,131.91,133.64,131.48,131.63,130.44,6239200
2025-04-02,130.64,132.13,129.76,131.93,130.73,4236200
2025-04-01,132.48,132.63,131.08,131.69,130.5,4228800
2025-03-31,130.81,133.2,130.64,132.65,131.45,9669600
2025-03-28,131.26,133.46,130.75,130.82,129.63,6708300
2025-03-27,127.17,131.93,126.66,131.35,130.16,8441400
2025-03-26,125.74,127.34,125.13,126.61,125.46,6053700
2025-03-25,127.68,128.79,124.5,125.6,124.46,6726800
2025-03-24,127.21,127.84,126.6,127.21,126.06,5283000
2025-03-21,126.33,126.81,125.49,126.34,125.2,8857100
2025-03-20,127.33,127.76,126.38,126.78,125.63,5158500
2025-03-19,126.33,127.78,125.78,127.42,126.27,5098500
2025-03-18,127.95,128.62,124.9,126.3,125.16,7959600
2025-03-17,126.72,127.87,126.2,127.64,126.48,6662800
2025-03-14,125.0,128.49,124.5,126.71,125.56,9537900
2025-03-13,130.28,130.85,129.0,129.89,128.71,9012900
2025-03-12,132.29,132.61,129.44,130.28,129.1,6771000
2025-03-11,137.06,137.06,132.31,132.66,131.46,9313500
2025-03-10,136.43,139.15,136.43,137.36,136.12,7028000
2025-03-07,134.51,137.48,133.96,137.14,135.9,8254800
2025-03-06,137.06,137.72,133.46,135.08,133.86,9184200
2025-03-05,136.9,138.5,136.04,137.71,136.46,8156700
2025-03-04,141.0,141.23,137.53,137.58,136.33,8356300
2025-03-03,138.17,140.84,138.01,140.22,138.95,7589800
2025-02-28,136.4,138.37,134.75,138.01,136.76,8756100
2025-02-27,135.72,136.99,135.22,135.87,134.64,4890700
2025-02-26,135.15,136.31,134.27,135.96,134.73,5388000
2025-02-25,135.38,136.45,134.36,135.82,134.59,6385700
2025-02-24,134.49,136.59,134.3,134.95,133.73,5947200
2025-02-21,132.41,135.41,132.41,134.92,133.7,7160100
2025-02-20,131.73,133.28,131.35,133.17,131.96,5046900
2025-02-19,130.26,132.26,130.0,132.13,130.93,3806800
2025-02-18,129.76,130.82,128.25,130.18,129.0,5116200
2025-02-14,132.32,132.65,130.52,130.61,129.43,3733900
2025-02-13,130.93,132.04,130.55,131.79,130.6,4168400
2025-02-12,130.49,130.8,129.24,130.49,129.31,4703700
2025-02-11,131.2,132.05,130.47,131.44,130.25,5314100
2025-02-10,129.07,131.43,128.6,131.31,130.12,5503600
2025-02-07,128.07,129.49,128.07,129.07,127.9,6455200
2025-02-06,131.8,131.9,128.14,128.22,127.06,6469200
2025-02-05,129.43,132.5,128.95,132.06,130.86,8680100
2025-02-04,126.44,129.2,126.0,129.1,127.93,6957400
2025-02-03,126.65,128.95,126.01,128.45,127.29,5720600
2025-01-31,128.37,128.76,127.68,127.93,126.77,7129400
2025-01-30,127.99,129.19,127.19,128.81,127.64,6340400
2025-01-29,128.16,129.3,127.63,127.86,126.7,7609800
2025-01-28,129.75,129.85,126.67,127.39,126.24,11948500
2025-01-27,126.73,129.76,125.47,129.43,128.26,11845100
2025-01-24,122.59,125.67,122.18,125.03,123.9,9960200
2025-01-23,118.13,123.23,117.78,123.22,122.1,13089400
2025-01-22,114.13,119.94,113.5,117.78,116.71,13200700
2025-01-21,114.25,116.9,114.14,116.79,115.73,8486300
2025-01-17,113.62,114.79,113.39,113.48,112.45,6459800
2025-01-16,111.02,113.95,111.02,113.91,112.88,5598700
2025-01-15,112.15,112.76,110.86,111.1,110.09,6543700
2025-01-14,113.56,113.81,112.29,113.02,111.41,3972400
2025-01-13,112.6,113.39,111.98,113.19,111.58,4409700
2025-01-10,113.77,113.84,111.79,112.31,110.71,5108700
2025-01-08,113.54,114.31,112.26,114.25,112.62,4455800
2025-01-07,113.37,114.69,113.17,113.4,111.79,5300100
2025-01-06,113.51,114.26,112.79,113.04,111.43,6037200
2025-01-03,113.94,114.23,113.28,113.83,112.21,4416700
2025-01-02,113.69,113.96,112.76,113.44,111.83,3569100
2024-12-31,113.06,113.78,112.55,113.11,111.5,3519900
2024-12-30,114.13,114.64,112.52,112.8,111.19,3475800
2024-12-27,115.01,115.95,114.51,114.99,113.35,2829500
2024-12-26,114.2,115.81,113.82,115.27,113.63,2960500
2024-12-24,114.14,114.83,113.59,114.76,113.13,1480000
2024-12-23,114.0,114.51,112.96,114.31,112.68,4028200
2024-12-20,112.64,115.11,112.52,114.23,112.6,12311900
2024-12-19,111.54,113.3,111.28,112.42,110.82,7738700
2024-12-18,113.03,114.15,111.85,111.93,110.34,6454600
2024-12-17,112.21,113.84,112.2,113.29,111.68,5805600
2024-12-16,112.7,113.65,112.39,112.62,111.02,5047200
