Date,Open,High,Low,Close,Adj Close,Volume
2025-08-29,166.81,168.57,161.9,162.63,162.63,37516800
2025-08-28,168.5,170.99,166.65,168.58,168.58,36285200
2025-08-27,166.04,167.68,164.65,167.13,167.13,37031000
2025-08-26,168.65,169.77,164.91,166.62,166.62,52138600
2025-08-25,165.55,165.59,161.72,163.36,163.36,36134700
2025-08-22,162.17,168.53,161.8,167.76,167.76,43998600
2025-08-21,165.86,165.88,162.26,163.71,163.71,37880500
2025-08-20,164.1,166.65,158.25,165.2,165.2,60233200
2025-08-19,173.1,173.17,166.1,166.55,166.55,64455000
2025-08-18,176.76,178.8,174.36,176.14,176.14,35937500
2025-08-15,180.06,180.14,176.25,177.51,177.51,51543100
2025-08-14,179.83,185.44,179.56,180.95,180.95,66308800
2025-08-13,179.91,186.65,179.38,184.42,184.42,108305100
2025-08-12,173.32,175.16,168.5,174.95,174.95,52243500
2025-08-11,170.04,178.82,169.38,172.28,172.28,70651000
2025-08-08,174.04,176.48,170.52,172.76,172.76,68866700
2025-08-07,166.84,175.75,166.7,172.4,172.4,95448300
2025-08-06,165.05,166.18,157.8,163.12,163.12,133641800
2025-08-05,177.57,177.99,171.8,174.31,174.31,88808500
2025-08-04,174.61,177.86,173.56,176.78,176.78,52951000
2025-08-01,170.16,174.4,166.82,171.7,171.7,75396100
2025-07-31,182.02,182.5,173.0,176.31,176.31,71765300
2025-07-30,175.61,180.37,173.8,179.51,179.51,64820300
2025-07-29,175.21,182.31,174.68,177.44,177.44,108154800
2025-07-28,169.08,174.7,168.67,173.66,173.66,68267800
2025-07-25,163.51,167.18,162.36,166.47,166.47,53432300
2025-07-24,159.12,163.93,158.36,162.12,162.12,48440100
2025-07-23,156.32,159.45,156.0,158.65,158.65,41510900
2025-07-22,156.2,156.23,149.34,154.72,154.72,49028000
2025-07-21,157.62,160.34,156.92,157.0,157.0,39021100
2025-07-18,159.59,160.83,155.81,156.99,156.99,48859800
2025-07-17,161.81,161.96,158.68,160.41,160.41,50605100
2025-07-16,155.31,160.36,152.85,160.08,160.08,59492800
2025-07-15,153.75,158.68,153.56,155.61,155.61,93370100
2025-07-14,145.09,147.58,141.9,146.24,146.24,44718600
2025-07-11,142.6,147.4,141.6,146.42,146.42,50049200
2025-07-10,143.0,145.82,141.85,144.16,144.16,61101500
2025-07-09,138.69,140.65,137.59,138.41,138.41,37013100
2025-07-08,137.32,139.15,135.91,137.82,137.82,36124600
2025-07-07,136.56,137.44,133.5,134.8,134.8,37395000
2025-07-03,139.11,139.5,137.32,137.91,137.91,28646000
2025-07-02,135.53,139.78,135.22,138.52,138.52,39228000
2025-07-01,138.77,140.23,135.12,136.11,136.11,55257200
2025-06-30,144.0,146.0,141.01,141.9,141.9,42972500
2025-06-27,144.18,147.75,141.63,143.81,143.81,61937900
2025-06-26,145.97,146.0,141.91,143.68,143.68,58180100
2025-06-25,140.94,144.18,139.46,143.4,143.4,74607200
2025-06-24,133.43,138.79,132.93,138.43,138.43,78572000
2025-06-23,130.47,133.25,126.82,129.58,129.58,65152900
2025-06-20,129.0,132.81,127.55,128.24,128.24,79931000
2025-06-18,128.01,129.21,125.77,126.79,126.79,49627100
2025-06-17,127.93,130.7,126.58,127.1,127.1,86623900
2025-06-16,118.64,128.14,117.78,126.39,126.39,100968500
2025-06-13,116.05,117.88,115.06,116.16,116.16,39702700
2025-06-12,120.62,122.25,118.03,118.5,118.5,44718400
2025-06-11,124.44,124.47,119.88,121.14,121.14,32261900
2025-06-10,121.11,124.09,120.8,123.24,123.24,41691900
2025-06-09,119.18,122.37,119.04,121.73,121.73,55437700
2025-06-06,117.69,118.38,115.88,116.19,116.19,27042100
2025-06-05,118.95,119.24,114.71,115.69,115.69,34091000
2025-06-04,117.41,119.3,115.73,118.58,118.58,31025000
2025-06-03,114.5,117.68,113.28,117.31,117.31,37161500
2025-06-02,111.06,114.86,111.01,114.63,114.63,34078400
