Date,Open,High,Low,Close,Adj Close,Volume
2025-08-29,285.8,288.3,285.16,287.71,287.71,1302700
2025-08-28,287.23,287.23,284.87,285.61,285.61,1886700
2025-08-27,288.84,290.25,286.65,287.97,287.97,1400800
2025-08-26,287.77,289.89,286.53,289.58,289.58,1750400
2025-08-25,292.61,294.6,287.56,288.47,288.47,1734300
2025-08-22,295.49,297.89,293.35,293.72,293.72,1644000
2025-08-21,295.9,299.9,294.49,295.76,293.38,1843700
2025-08-20,296.25,301.47,295.8,296.45,294.06,1723700
2025-08-19,292.41,296.99,292.11,295.55,293.17,1858500
2025-08-18,296.93,298.14,292.3,292.62,290.27,1743800
2025-08-15,292.03,296.99,290.58,296.47,294.08,2168300
2025-08-14,288.88,291.54,287.41,290.29,287.95,1932300
2025-08-13,285.32,289.58,284.69,289.33,287.0,1784900
2025-08-12,285.48,286.26,282.6,284.98,282.69,2200300
2025-08-11,289.74,291.74,284.72,285.09,282.8,1856800
2025-08-08,283.49,288.49,283.49,288.23,285.91,1803300
2025-08-07,287.35,289.25,281.69,284.7,282.41,2588800
2025-08-06,295.51,298.54,281.65,284.67,282.38,4576000
2025-08-05,300.73,302.1,297.02,300.08,297.67,2664100
2025-08-04,297.3,302.33,296.3,301.94,299.51,2316200
2025-08-01,297.06,298.52,292.59,296.88,294.49,2410900
2025-07-31,298.44,302.96,293.63,295.1,292.73,2252700
2025-07-30,304.33,305.57,299.66,301.37,298.94,1550400
2025-07-29,301.12,304.07,297.78,303.56,301.12,1406500
2025-07-28,305.82,306.0,300.1,301.29,298.87,1948000
2025-07-25,308.58,309.03,304.45,306.58,304.11,1451300
2025-07-24,309.23,311.28,307.35,308.55,306.07,1531200
2025-07-23,307.81,309.49,305.99,309.22,306.73,1782700
2025-07-22,296.46,306.8,295.86,305.69,303.23,2520800
2025-07-21,294.75,297.09,293.6,295.87,293.49,2025100
2025-07-18,300.93,301.0,293.75,294.76,292.39,1967700
2025-07-17,297.59,299.95,296.28,298.25,295.85,1725600
2025-07-16,292.51,299.34,292.33,299.02,296.61,1881000
2025-07-15,297.19,297.53,291.94,292.51,290.16,1592700
2025-07-14,293.86,297.14,292.84,297.03,294.64,1202300
2025-07-11,298.23,299.91,294.0,295.27,292.89,1619800
2025-07-10,296.19,302.38,295.17,300.37,297.95,1925800
2025-07-09,298.51,301.66,291.77,296.52,294.13,2098000
2025-07-08,291.96,298.68,291.25,297.0,294.61,1534100
2025-07-07,297.88,298.0,291.38,292.95,290.59,2144500
2025-07-03,297.0,298.99,295.51,298.24,295.84,1518500
2025-07-02,291.03,297.91,289.5,296.85,294.46,2287000
2025-07-01,280.01,293.98,278.98,290.52,288.18,3502700
2025-06-30,278.85,280.04,276.58,279.21,276.96,2963500
2025-06-27,278.57,281.32,275.7,277.13,274.9,2894500
2025-06-26,280.0,286.17,277.75,279.11,276.86,2998200
2025-06-25,275.8,280.54,273.13,280.35,278.09,2740300
2025-06-24,273.13,280.01,269.01,277.49,275.26,3686900
2025-06-23,290.08,290.66,267.83,272.44,270.25,5764900
2025-06-20,292.17,294.55,288.54,289.33,287.0,6801300
2025-06-18,290.79,291.87,286.6,289.63,287.3,2026800
2025-06-17,294.41,295.8,289.63,290.05,287.72,2515100
2025-06-16,296.31,298.77,292.46,295.56,293.18,2047600
2025-06-13,294.73,299.49,294.07,295.22,292.84,2191200
2025-06-12,294.21,297.44,292.68,297.29,294.9,2159700
2025-06-11,293.21,294.67,291.15,291.81,289.46,1828300
2025-06-10,290.0,295.64,289.79,293.43,291.07,2441500
2025-06-09,290.47,291.66,287.54,289.98,287.65,1967100
2025-06-06,289.8,293.57,289.01,290.33,287.99,1996100
2025-06-05,286.33,291.36,284.99,287.1,284.79,2522400
2025-06-04,290.19,293.21,286.89,287.01,284.7,2338300
2025-06-03,285.52,291.76,283.04,289.57,287.24,2320400
2025-06-02,285.64,289.45,284.77,288.47,286.15,2394000
