Date,Open,High,Low,Close,Adj Close,Volume
2025-05-30,241.22,243.17,234.9,242.07,241.5,27088600
2025-05-29,245.91,246.07,237.4,241.97,241.4,20743700
2025-05-28,237.15,240.99,234.43,239.43,238.87,20443000
2025-05-27,232.87,236.48,231.13,235.65,235.1,17941700
2025-05-23,226.94,230.65,226.18,228.72,228.18,15385600
2025-05-22,228.34,233.69,227.43,230.53,229.99,14340200
2025-05-21,228.39,236.5,227.83,229.73,229.19,17642900
2025-05-20,226.49,231.77,226.34,231.68,231.14,11787200
2025-05-19,221.85,231.25,221.6,230.63,230.09,15355500
2025-05-16,232.32,232.64,226.39,228.61,228.07,23094600
2025-05-15,230.16,234.46,228.07,232.64,232.09,18803700
2025-05-14,230.23,233.5,228.35,232.12,231.57,19751400
2025-05-13,222.0,235.28,222.0,232.42,231.87,28790500
2025-05-12,219.49,221.8,215.88,221.58,221.06,25437700
2025-05-09,209.33,209.96,206.52,208.2,207.71,13289200
2025-05-08,208.0,211.16,203.69,207.77,207.28,18460900
2025-05-07,199.29,206.23,198.43,204.81,204.33,20253700
2025-05-06,196.44,201.91,195.94,200.09,199.62,16348800
2025-05-05,200.25,203.23,200.0,200.72,200.25,14025400
2025-05-02,203.9,205.68,201.08,203.64,203.16,17766800
2025-05-01,198.14,201.4,196.24,197.33,196.87,24939700
2025-04-30,185.9,193.2,184.02,192.47,192.02,22768900
2025-04-29,191.72,193.25,190.1,191.17,190.72,14630000
2025-04-28,190.53,193.1,187.68,192.47,192.02,16385800
2025-04-25,186.92,193.37,186.89,192.31,191.86,21242300
2025-04-24,179.69,188.57,178.3,188.15,187.71,27576900
2025-04-23,177.78,180.45,175.82,176.91,176.49,24380500
2025-04-22,167.43,170.52,165.22,169.58,169.18,18504900
2025-04-21,166.99,168.0,161.61,166.21,165.82,23469800
2025-04-17,176.25,176.25,169.92,170.99,170.59,22501800
2025-04-16,170.43,176.08,166.92,174.61,174.2,34638600
2025-04-15,179.73,182.26,178.08,178.95,178.53,17242400
2025-04-14,185.08,186.0,175.82,178.36,177.94,25748300
2025-04-11,173.62,182.66,173.31,181.94,181.51,33964100
2025-04-10,175.3,176.95,166.4,172.3,171.9,51212200
2025-04-09,160.5,187.33,157.51,185.15,184.72,72708300
2025-04-08,167.62,169.78,153.09,156.03,155.66,58888200
