Date,Open,High,Low,Close,Adj Close,Volume
2025-08-29,327.28,332.06,326.81,331.28,331.28,2981300
2025-08-28,323.99,327.54,322.0,326.99,326.99,2194800
2025-08-27,319.92,323.52,319.51,322.46,322.46,1970100
2025-08-26,315.02,320.79,314.12,320.6,320.6,1848600
2025-08-25,319.06,319.95,315.41,315.8,315.8,1599600
2025-08-22,310.22,321.71,310.15,319.16,319.16,2785200
2025-08-21,306.79,308.52,304.02,308.17,308.17,1848500
2025-08-20,305.73,309.02,303.87,308.4,308.4,2481700
2025-08-19,306.66,308.57,304.57,306.1,306.1,2215800
2025-08-18,304.27,307.24,302.79,307.05,307.05,2115100
2025-08-15,309.46,309.81,304.24,305.47,305.47,2728000
2025-08-14,305.54,307.95,302.51,307.73,307.73,2108300
2025-08-13,304.69,307.6,302.43,306.87,306.87,2586800
2025-08-12,298.9,305.07,298.48,303.21,303.21,2170500
2025-08-11,297.12,297.44,294.89,296.23,296.23,2316700
2025-08-08,297.0,298.13,294.54,297.43,297.43,1778100
2025-08-07,297.7,298.29,290.63,294.73,294.73,2842500
2025-08-06,297.21,298.05,294.44,295.54,295.54,3430500
2025-08-05,299.85,300.35,295.23,296.64,296.64,2181000
2025-08-04,295.54,299.1,295.53,298.59,298.59,1876000
2025-08-01,294.03,294.91,288.34,294.27,294.27,3012900
2025-07-31,301.9,303.91,298.07,299.31,299.31,2718200
2025-07-30,308.55,308.75,301.37,303.41,303.41,3132400
2025-07-29,312.91,313.62,307.85,308.54,308.54,1796400
2025-07-28,311.6,313.5,309.29,310.74,310.74,1653800
2025-07-25,309.42,312.65,307.51,311.61,311.61,2149300
2025-07-24,308.3,310.5,307.0,308.25,308.25,2288100
2025-07-23,308.0,309.59,305.24,308.66,308.66,2139100
2025-07-22,302.98,306.16,301.73,304.14,304.14,2296100
2025-07-21,307.96,309.17,302.97,302.97,302.97,2667200
2025-07-18,311.86,311.86,302.51,307.95,307.95,5481100
2025-07-17,310.92,316.98,310.58,315.35,315.35,3223300
2025-07-16,312.44,312.49,306.61,311.9,311.9,2921900
2025-07-15,318.61,319.45,310.43,310.65,310.65,3006500
2025-07-14,319.29,321.77,317.68,320.92,320.92,1890900
2025-07-11,322.98,324.35,319.2,319.47,319.47,2091200
2025-07-10,317.85,326.1,317.5,325.24,325.24,2844400
2025-07-09,318.66,320.93,317.31,317.35,317.35,2424200
2025-07-08,324.47,324.47,316.95,316.98,316.98,2643900
2025-07-07,327.52,328.41,320.26,322.73,322.73,2160300
2025-07-03,325.33,329.14,324.18,328.13,328.13,1541800
2025-07-02,322.99,326.62,321.34,325.61,324.79,3040200
2025-07-01,316.93,324.38,316.3,322.53,321.72,3836200
2025-06-30,318.58,320.13,317.59,318.98,318.18,3416600
2025-06-27,314.08,320.12,313.1,317.19,316.39,4605500
2025-06-26,309.58,312.27,308.17,311.42,310.64,3255200
2025-06-25,308.89,310.77,307.18,308.59,307.81,2467200
2025-06-24,303.1,309.22,302.15,308.38,307.6,2805900
2025-06-23,296.82,299.87,291.88,299.63,298.88,3101700
2025-06-20,297.58,299.75,296.64,298.59,297.84,5687000
2025-06-18,292.08,299.24,292.08,296.42,295.67,3691500
2025-06-17,292.09,294.59,290.95,292.81,292.07,2625800
2025-06-16,290.93,296.45,290.02,294.22,293.48,2307800
2025-06-13,292.55,293.33,286.15,287.79,287.07,3405600
2025-06-12,296.67,298.58,294.0,297.99,297.24,1604500
2025-06-11,300.18,303.39,298.65,299.1,298.35,2013500
2025-06-10,301.7,301.78,298.0,299.52,298.77,2045300
2025-06-09,303.79,303.79,299.58,301.56,300.8,2097800
2025-06-06,300.29,303.5,299.23,302.47,301.71,2099000
2025-06-05,296.5,298.5,294.14,295.96,295.21,1696900
2025-06-04,297.81,298.65,295.8,295.93,295.18,1842100
2025-06-03,295.2,298.25,292.65,297.39,296.64,2202400
2025-06-02,292.35,295.75,290.33,295.33,294.59,1751200
