Date,Open,High,Low,Close,Adj Close,Volume
2025-08-29,50.51,50.92,50.51,50.74,50.46,32496500
2025-08-28,50.55,50.64,50.28,50.49,50.21,32949400
2025-08-27,50.03,50.63,49.99,50.38,50.1,42428200
2025-08-26,49.25,50.26,49.25,50.25,49.97,40609300
2025-08-25,49.39,49.66,49.21,49.48,49.21,34715700
2025-08-22,48.52,49.66,48.46,49.48,49.21,45078900
2025-08-21,48.27,48.49,47.81,48.26,47.99,28713200
2025-08-20,48.17,48.5,47.87,48.35,48.08,30822200
2025-08-19,47.82,48.12,47.63,48.08,47.81,33783400
2025-08-18,46.92,48.04,46.79,47.92,47.65,43125100
2025-08-15,47.75,47.82,46.9,46.94,46.68,26276900
2025-08-14,47.09,47.73,46.89,47.71,47.45,21073800
2025-08-13,47.68,47.76,46.99,47.24,46.98,29465100
2025-08-12,46.48,47.66,46.36,47.5,47.24,35481200
2025-08-11,46.06,46.52,45.81,46.16,45.9,35559400
2025-08-08,45.15,46.3,44.98,46.01,45.76,37131600
2025-08-07,45.71,45.76,44.78,44.92,44.67,30609900
2025-08-06,45.71,45.94,45.39,45.42,45.17,27916800
2025-08-05,45.95,46.0,44.75,45.56,45.31,36798300
2025-08-04,45.96,46.11,45.64,45.85,45.6,31038900
2025-08-01,46.36,46.41,45.32,45.66,45.41,52310400
2025-07-31,47.76,48.03,47.19,47.27,47.01,40016300
2025-07-30,48.26,48.5,47.74,47.96,47.69,32265900
2025-07-29,48.39,48.51,47.89,47.95,47.68,26216500
2025-07-28,48.45,48.54,48.08,48.23,47.96,20590400
2025-07-25,48.39,48.55,47.94,48.45,48.18,24461200
2025-07-24,48.49,49.0,48.21,48.39,48.12,42967600
2025-07-23,48.01,48.31,47.81,48.14,47.87,31380100
2025-07-22,47.6,48.17,47.46,47.77,47.51,34749400
2025-07-21,47.54,48.04,47.2,47.48,47.22,32199700
2025-07-18,47.01,47.38,46.9,47.32,47.06,48314200
2025-07-17,45.64,47.22,45.44,47.02,46.76,56480700
2025-07-16,46.25,46.56,45.01,46.03,45.78,61296600
2025-07-15,46.88,47.01,45.95,46.15,45.89,55145000
2025-07-14,46.81,47.07,46.55,47.07,46.81,36381200
2025-07-11,46.64,46.81,46.25,46.73,46.47,31653000
2025-07-10,46.9,47.22,46.78,46.97,46.71,44225000
2025-07-09,47.16,47.45,46.71,46.84,46.58,46227900
2025-07-08,47.5,47.79,46.76,47.15,46.89,88086500
2025-07-07,48.74,49.21,48.37,48.66,48.39,35567900
2025-07-03,48.95,49.31,48.81,48.93,48.66,21620300
2025-07-02,48.36,48.73,48.06,48.71,48.44,48003600
2025-07-01,47.02,48.42,46.94,48.15,47.88,48540900
2025-06-30,47.62,47.62,47.03,47.32,47.06,47921200
2025-06-27,47.45,47.67,46.91,47.12,46.86,56705000
2025-06-26,46.95,47.58,46.9,47.46,47.2,40127000
2025-06-25,46.58,46.98,46.46,46.85,46.59,33532400
2025-06-24,46.75,47.19,46.57,46.66,46.4,45437600
2025-06-23,45.4,46.37,45.11,46.3,46.04,42683600
2025-06-20,45.31,45.65,45.27,45.5,45.25,64591600
2025-06-18,44.26,45.2,44.21,45.06,44.81,37684700
2025-06-17,44.27,44.67,44.06,44.23,43.99,27489600
2025-06-16,44.64,44.89,44.35,44.41,44.16,34103600
2025-06-13,44.0,44.46,43.66,44.09,43.85,43281700
2025-06-12,44.4,44.65,44.02,44.62,44.37,30165400
2025-06-11,45.2,45.41,44.55,44.73,44.48,47873500
2025-06-10,44.8,45.2,44.75,45.09,44.84,32229100
2025-06-09,45.11,45.4,44.78,44.87,44.62,32414000
2025-06-06,44.69,45.17,44.64,44.97,44.72,37013000
2025-06-05,44.45,44.58,44.01,44.38,43.88,32020900
2025-06-04,44.6,45.09,44.34,44.36,43.86,30591700
2025-06-03,44.01,44.73,43.94,44.65,44.14,31320200
2025-06-02,43.88,44.15,43.36,44.08,43.58,28582600
