Date,Open,High,Low,Close,Adj Close,Volume
2025-08-29,5634.14,5634.14,5587.75,5599.05,5589.43,138900
2025-08-28,5630.0,5665.72,5595.0,5651.99,5642.28,167900
2025-08-27,5676.19,5693.0,5581.06,5615.68,5606.03,151200
2025-08-26,5700.87,5728.16,5643.64,5705.68,5695.87,170900
2025-08-25,5708.18,5774.48,5700.12,5703.6,5693.8,115600
2025-08-22,5725.22,5795.0,5665.05,5720.87,5711.04,195500
2025-08-21,5647.84,5714.75,5599.08,5710.74,5700.93,156300
2025-08-20,5584.0,5647.87,5582.28,5639.78,5630.09,175500
2025-08-19,5539.12,5602.57,5526.15,5584.08,5574.48,199800
2025-08-18,5449.04,5535.88,5419.52,5532.0,5522.49,169500
2025-08-15,5514.44,5514.44,5437.22,5454.29,5444.92,158000
2025-08-14,5467.0,5519.3,5418.92,5484.77,5475.34,179800
2025-08-13,5483.34,5483.34,5403.18,5447.92,5438.56,190500
2025-08-12,5364.25,5468.17,5364.25,5461.54,5452.15,144500
2025-08-11,5381.84,5431.83,5349.09,5364.25,5355.03,174900
2025-08-08,5454.02,5454.02,5366.43,5405.91,5396.62,188800
2025-08-07,5550.0,5590.0,5405.67,5432.1,5422.76,202600
2025-08-06,5474.47,5538.83,5415.0,5536.31,5526.79,199000
2025-08-05,5503.93,5507.5,5409.79,5457.86,5448.48,221800
2025-08-04,5412.0,5481.01,5339.42,5476.09,5466.68,236900
2025-08-01,5479.47,5479.47,5339.12,5386.29,5377.03,199600
2025-07-31,5625.0,5664.41,5493.68,5504.06,5494.6,288400
2025-07-30,5490.0,5691.57,5432.05,5612.91,5603.26,371400
2025-07-29,5696.0,5696.0,5541.64,5590.77,5581.16,324400
2025-07-28,5638.81,5685.0,5583.13,5678.75,5668.99,225600
2025-07-25,5678.51,5680.28,5624.21,5632.27,5622.59,184800
2025-07-24,5745.94,5758.83,5644.12,5650.0,5640.29,172500
2025-07-23,5765.93,5769.58,5680.0,5736.32,5726.46,149500
2025-07-22,5720.0,5786.0,5677.5,5775.53,5765.6,143600
2025-07-21,5665.0,5716.5,5649.95,5677.15,5667.39,156300
2025-07-18,5749.59,5749.59,5684.0,5702.9,5693.1,147100
2025-07-17,5656.5,5718.42,5646.4,5683.94,5674.17,141500
2025-07-16,5652.96,5677.35,5625.22,5658.13,5648.41,169000
2025-07-15,5743.61,5790.0,5640.0,5675.53,5665.78,163700
2025-07-14,5697.36,5769.94,5689.03,5766.04,5756.13,134100
2025-07-11,5692.62,5725.39,5660.65,5717.1,5707.27,150900
2025-07-10,5722.12,5766.29,5664.15,5718.51,5708.68,169200
2025-07-09,5760.27,5767.0,5653.12,5668.04,5658.3,185000
2025-07-08,5815.0,5839.41,5678.0,5713.33,5703.51,236900
2025-07-07,5725.38,5815.92,5707.93,5815.92,5805.92,176000
2025-07-03,5697.29,5760.4,5652.99,5716.8,5706.97,131200
2025-07-02,5690.0,5710.21,5640.0,5701.76,5691.96,211400
2025-07-01,5740.8,5795.77,5681.28,5730.73,5720.88,226100
2025-06-30,5704.1,5799.01,5691.52,5789.24,5779.29,287700
2025-06-27,5617.75,5711.48,5613.64,5693.13,5683.35,297600
2025-06-26,5520.66,5632.61,5501.45,5596.0,5586.38,219300
2025-06-25,5465.15,5522.23,5440.0,5485.35,5475.92,177300
2025-06-24,5390.0,5518.18,5378.5,5482.23,5472.81,234000
2025-06-23,5340.34,5350.0,5235.65,5333.42,5324.25,175600
2025-06-20,5378.0,5378.0,5275.0,5304.03,5294.91,441900
2025-06-18,5306.9,5351.9,5277.33,5286.26,5277.17,181000
2025-06-17,5312.51,5389.36,5285.0,5301.05,5291.94,196200
2025-06-16,5324.98,5379.69,5313.02,5369.04,5359.81,224300
2025-06-13,5345.0,5373.35,5272.36,5298.38,5289.27,262000
2025-06-12,5465.12,5488.0,5425.81,5461.95,5452.56,193300
2025-06-11,5488.0,5493.25,5389.95,5466.28,5456.89,262800
2025-06-10,5529.95,5546.13,5435.27,5487.98,5478.55,178600
2025-06-09,5601.2,5623.62,5528.45,5539.41,5529.89,199300
2025-06-06,5615.56,5631.34,5553.79,5614.61,5604.96,174100
2025-06-05,5575.0,5639.7,5550.0,5570.52,5551.36,185700
2025-06-04,5473.8,5560.12,5473.5,5557.0,5537.89,209200
2025-06-03,5514.09,5560.45,5464.64,5475.07,5456.24,212400
2025-06-02,5500.0,5544.43,5471.26,5538.91,5519.86,136700
